studlab,intervention_type,language,publ_date,design,databases,publication_status,documentation_for_treatment,time_of_intervention,outcome_reported_as,method_of_outcome_analysis,nrsi_adj_outcome,imputed_outcome,imputed_vars,imputed_timepoint,rob_tool,total_avg_age,n,lost_to_fu,neer_1_part,neer_2_part,neer_3_part,neer_4_part,oss_6_n,oss_6_mean,oss_6_sd,oss_12_n,oss_12_mean,oss_12_sd,oss_24_n,oss_24_mean,oss_24_sd,cs_3_n,cs_3_mean,cs_3_sd,cs_4_n,cs_4_mean,cs_4_sd,cs_6_n,cs_6_mean,cs_6_sd,cs_12_n,cs_12_mean,cs_12_sd,cs_16_n,cs_16_mean,cs_16_sd,cs_24_n,cs_24_mean,cs_24_sd,cs_26_n,cs_26_mean,cs_26_sd,cs_28_n,cs_28_mean,cs_28_sd,cs_34_n,cs_34_mean,cs_34_sd,cs_37_n,cs_37_mean,cs_37_sd,cs_40_n,cs_40_mean,cs_40_sd,cs_48_n,cs_48_mean,cs_48_sd,cs_49_n,cs_49_mean,cs_49_sd,cs_50_n,cs_50_mean,cs_50_sd,cs_55_n,cs_55_mean,cs_55_sd,cs_80_n,cs_80_mean,cs_80_sd,ases_6_n,ases_6_mean,ases_6_sd,ases_12_n,ases_12_mean,ases_12_sd,ases_24_n,ases_24_mean,ases_24_sd,ases_40_n,ases_40_mean,ases_40_sd,ases_41_n,ases_41_mean,ases_41_sd,sane_41_n,sane_41_mean,sane_41_sd,pss_41_n,pss_41_mean,pss_41_sd,qdash_28_n,qdash_28_mean,qdash_28_sd,dash_4_n,dash_4_mean,dash_4_sd,dash_12_n,dash_12_mean,dash_12_sd,dash_24_n,dash_24_mean,dash_24_sd,dash_26_n,dash_26_mean,dash_26_sd,dash_40_n,dash_40_mean,dash_40_sd,dash_55_n,dash_55_mean,dash_55_sd,sst_3_n,sst_3_mean,sst_3_sd,sst_12_n,sst_12_mean,sst_12_sd,eq5d_3_n,eq5d_3_mean,eq5d_3_sd,eq5d_4_n,eq5d_4_mean,eq5d_4_sd,eq5d_6_n,eq5d_6_mean,eq5d_6_sd,eq5d_12_n,eq5d_12_mean,eq5d_12_sd,eq5d_24_n,eq5d_24_mean,eq5d_24_sd,qol15d_3_n,qol15d_3_mean,qol15d_3_sd,qol15d_6_n,qol15d_6_mean,qol15d_6_sd,qol15d_12_n,qol15d_12_mean,qol15d_12_sd,qol15d_24_n,qol15d_24_mean,qol15d_24_sd,qolpromis_40_n,qolpromis_40_mean,qolpromis_40_sd,sf12pcs_6_n,sf12pcs_6_mean,sf12pcs_6_sd,sf12pcs_12_n,sf12pcs_12_mean,sf12pcs_12_sd,sf12pcs_24_n,sf12pcs_24_mean,sf12pcs_24_sd,sf36pcs_55_n,sf36pcs_55_mean,sf36pcs_55_sd,vr12_41_n,vr12_41_mean,vr12_41_sd,nonunion_11_e,nonunion_11_n,nonunion_12_e,nonunion_12_n,nonunion_16_e,nonunion_16_n,nonunion_24_e,nonunion_24_n,nonunion_28_e,nonunion_28_n,nonunion_37_e,nonunion_37_n,nonunion_40_e,nonunion_40_n,nonunion_50_e,nonunion_50_n,avn_11_e,avn_11_n,avn_12_e,avn_12_n,avn_16_e,avn_16_n,avn_24_e,avn_24_n,avn_28_e,avn_28_n,avn_36_e,avn_36_n,avn_37_e,avn_37_n,avn_40_e,avn_40_n,avn_48_e,avn_48_n,avn_49_e,avn_49_n,avn_50_e,avn_50_n,avn_55_e,avn_55_n,avn_66_e,avn_66_n,infection_12_e,infection_12_n,infection_18_e,infection_18_n,infection_24_e,infection_24_n,infection_28_e,infection_28_n,infection_40_e,infection_40_n,infection_41_e,infection_41_n,infection_48_e,infection_48_n,infection_50_e,infection_50_n,infection_55_e,infection_55_n,infection_66_e,infection_66_n,nerveinj_12_e,nerveinj_12_n,nerveinj_24_e,nerveinj_24_n,nerveinj_40_e,nerveinj_40_n,metalwork_12_e,metalwork_12_n,metalwork_16_e,metalwork_16_n,metalwork_24_e,metalwork_24_n,metalwork_37_e,metalwork_37_n,metalwork_40_e,metalwork_40_n,metalwork_48_e,metalwork_48_n,metalwork_50_e,metalwork_50_n,metalwork_55_e,metalwork_55_n,failure_11_e,failure_11_n,failure_12_e,failure_12_n,failure_24_e,failure_24_n,failure_28_e,failure_28_n,failure_40_e,failure_40_n,displacement_12_e,displacement_12_n,displacement_24_e,displacement_24_n,displacement_28_e,displacement_28_n,displacement_37_e,displacement_37_n,displacement_55_e,displacement_55_n,revision_6_e,revision_6_n,revision_12_e,revision_12_n,revision_16_e,revision_16_n,revision_18_e,revision_18_n,revision_24_e,revision_24_n,revision_28_e,revision_28_n,revision_34_e,revision_34_n,revision_37_e,revision_37_n,revision_40_e,revision_40_n,revision_41_e,revision_41_n,revision_50_e,revision_50_n,revision_55_e,revision_55_n,revision_66_e,revision_66_n,rob2_overall,rob_overall,minors_total,nos_total
blonna 2009,k-wires,english,2009-05-30,retrospective nrsi,yes,published,yes,7,difference at follow-up,per-protocol,no,yes,cs,28,minors,74.1,45,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,72,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,15.05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,34,NA,NA,NA,NA,NA,NA,3,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
blonna 2009,nonop,english,2009-05-30,retrospective nrsi,yes,published,yes,7,difference at follow-up,per-protocol,no,yes,cs,28,minors,74.1,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,58.2,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,30.5,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,6,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
boons 2012,ha,english,2012-08-16,rct,yes,published,yes,7,difference at follow-up,per-protocol,NA,no,NA,NA,rob2,78.15,25,1,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,48,13.4,NA,NA,NA,NA,NA,NA,24,64,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4.92,2.21,23,7.17,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
boons 2012,nonop,english,2012-08-16,rct,yes,published,yes,7,difference at follow-up,per-protocol,NA,no,NA,NA,rob2,78.15,25,2,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,54,13.1,NA,NA,NA,NA,NA,NA,23,60,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,5.76,2.42,24,6.83,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
fan 2012,plate,chinese,2012-08-27,retrospective nrsi,yes,published,yes,5.5,difference at follow-up,per-protocol,no,no,NA,NA,NA,74.84,20,NA,0,0,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,66.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fan 2012,nonop,chinese,2012-08-27,retrospective nrsi,yes,published,yes,5.5,difference at follow-up,per-protocol,no,no,NA,NA,NA,74.84,15,NA,0,0,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,64.7,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fjalestad 2005,mixed,english,2005-04-21,retrospective nrsi,yes,published,yes,NA,difference at follow-up,per-protocol,no,no,NA,NA,minors,71,53,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
fjalestad 2005,nonop,english,2005-04-21,retrospective nrsi,yes,published,yes,NA,difference at follow-up,per-protocol,no,no,NA,NA,minors,71,42,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
fjalestad 2014,plate,english,2010-06-01,rct,yes,published,yes,7,difference at follow-up,intention-to-treat,NA,yes,"cs, ases, qol15d",24,rob2,72.6,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,74.4,29.4,NA,NA,NA,23,75.1,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13.5,6.6,23,14.8,6.6,23,14.8,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0.814,0.062,23,0.836,0.083,23,0.841,0.105,23,0.849,0.0983849489643256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
fjalestad 2014,nonop,english,2010-06-01,rct,yes,published,yes,7,difference at follow-up,intention-to-treat,NA,yes,"cs, ases, qol15d",24,rob2,72.6,25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,74.4,22.9,NA,NA,NA,19,74.4,17.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,13.4,6.7,25,15.5,6.9,19,14.9,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.817,0.074,25,0.817,0.088,25,0.819,0.083,19,0.825,0.0983849489643256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
